# latent states
0, 0
# state action sequence
75742, 4
97342, 2
97342, 14
97343, 16
97343, 44
97341, 16
97341, 112
97341, 64
97343, 88
97333, 88
97323, 112
97333, 88
97323, 48
97325, 68
97327, 88
97327, 64
97329, 88
97329, 48
97329, 64
97329, 40
97327, 40
97325, 16
97325, 88
97325, 24
97323, 92
97313, 112
97323, 20
97323, 112
97333, 88
97323, 88
97313, 92
97303, 72
97303, 68
97305, 64
97307, 24
97305, 68
97307, 112
97317, 112
97317, 88
97307, 88
97307, 88
97307, 64
97309, 120
98509, 116
98519, 16
98519, 64
98519, 88
98509, 48
98509, 112
98519, 112
98519, 40
98517, 88
98507, 112
98517, 40
98515, 16
98515, 112
98515, 68
98517, 40
98515, 64
98517, 40
98515, 16
98515, 112
98515, 44
98513, 116
98523, 16
98523, 0
98523, 88
98513, 112
98523, 116
98533, 0
98533, 20
98533, 112
98543, 0
98543, 144
99143, -1
